hyrdraulic residence times	pH probe (pH)
	
3.561E-07	7.772233486
0.001179494	7.751938343
0.002356272	7.770546913
0.00353306	7.768431187
0.004712229	7.775296688
0.004714589	7.775782108
0.007065357	7.764830589
0.008243386	7.753015518
0.009422524	8.756620407
0.010599363	7.986354351
0.010601723	7.986289024
0.0129542	7.885869026
0.014130988	7.846839428
0.015310126	7.847853184
0.016486935	7.817345619
0.017664933	7.840315342
0.018843044	7.842072964
0.019970507	7.80463171
0.021196701	7.801819801
0.022375839	7.799207687
0.023551599	7.799724102
0.024730727	7.882464886
0.025907515	7.930128574
0.027084303	7.468625069
0.028263492	7.738616467
0.028265883	7.738916874
0.03061832	7.690025806
0.031795097	7.663560867
0.032971885	7.686630249
0.034151054	7.748484612
0.034153404	7.748523235
0.036505393	7.715498924
0.037682181	7.614221573
0.038861655	7.654922009
0.040040854	7.706568241
0.041216584	7.707858563
0.042393371	7.685552597
0.043570231	7.712341785
0.044749369	7.717716217
0.045926157	7.651506901
0.047104756	7.652611733
0.048282714	7.662332058
0.049459501	7.640181541
0.050636289	7.654859543
0.05181322	7.620822907
0.052992429	7.614960671
0.054169217	7.612186909
0.055346239	7.591201305
0.056525377	7.614827156
0.057702185	7.598552227
0.058883023	7.463094235
0.06005628	7.571281433
0.061235418	7.621838093
0.062412206	7.579494953
0.063589035	7.523526192
0.064768407	7.505326271
0.065945673	7.537341118
0.067122451	7.527824402
0.068299239	7.484940052
0.069478387	7.470711231
0.069480747	7.470849514
0.071832461	7.485816479
0.073011599	7.457212925
0.074188377	7.422590256
0.075367668	7.473955631
0.076544161	7.453633785
0.077720939	7.47228241
0.078897726	7.426093102
0.080076865	7.413566589
0.081253714	7.403933525
0.08243041	7.453117371
0.083609548	7.417644978
0.084786336	7.388677597
0.085963124	7.360828877
0.087142313	7.393679142
0.087144816	7.394208908
0.08949774	7.374352455
0.090674966	7.353660584
0.091851754	7.36255455
0.093028542	7.398010254
0.094206917	7.378631115
0.095384234	7.317327499
0.096563372	7.327619076
0.09774016	7.32383728
0.098917172	7.344874382
0.098919522	7.345053196
0.101272304	7.305512428
0.102450272	7.314619064
0.10362705	7.30265379
0.104804347	7.3102355
0.104806707	7.310708523
0.107160649	7.298073769
0.108337529	7.228874207
0.109516657	7.253493786
0.110693902	7.240829945
0.110696253	7.241139412
0.113049513	7.26178503
0.114225131	7.301978588
0.115404259	7.270828247
0.116581057	7.339856625
0.117759167	7.228671551
0.118935955	7.277367115
0.120112743	7.235341072
0.121291881	7.329513073
0.122468791	7.376272202
0.122471142	7.374895096
0.124824148	7.390042305
0.126000936	7.388872623
0.127180389	7.318734646
0.128358347	7.299265862
0.129533538	7.307602406
0.130712676	7.378764629
0.131889464	7.281220436
0.133066333	7.329387188
0.134245532	7.218413353
0.134248025	7.21872139
0.136599993	7.282554627
0.137777951	7.33099556
0.138954739	7.246457577
0.140131547	7.355553627
0.141309668	7.331332684
0.142488806	7.262566567
0.143665594	7.273262501
0.144842382	7.15017271
0.14602152	7.203728676
0.14602387	7.204400063
0.148375879	7.139172554
0.149552667	7.12132597
0.150731795	7.141266346
0.151908593	7.080756664
0.151910934	7.081481457
0.154262881	7.094595909
0.155440839	7.175420761
0.156619978	7.117181778
0.157796816	7.096463203
0.157799248	7.096206188
0.160151196	7.094133854
0.161327984	7.094287396
0.162507122	7.105144501
0.16368391	7.072304726
0.164861552	7.148694038
0.166038737	7.144321442
0.167217875	7.08513689
0.168394653	7.048553944
0.169571502	7.111586571
0.170749236	7.225084782
0.171928456	7.14148283
0.173105244	7.061100006
0.174282031	7.088062286
0.17546117	7.062615395
0.176638222	7.066702843
0.17781501	7.075140476
0.178991788	7.04428196
0.180170926	7.010655403
0.181347714	7.065972805
0.182526313	7.069442272
0.183703101	7.02276659
0.184880743	6.969668388
0.186059047	6.976377487
0.187235855	7.014484406
0.188413406	7.013693333
0.189590194	7.021624088
0.19075054	6.991642475
0.19194846	7.011559486
0.193126032	6.974853039
0.193128382	6.975261688
0.195479119	6.988794804
0.196655887	7.048622608
0.197835025	6.966974735
0.199011833	6.960941315
0.200189465	6.953724384
0.201366396	6.947733879
0.202545503	6.961031914
0.203722291	6.989462853
0.20489912	6.956148148
0.206076793	6.981611729
0.207253795	6.994780064
0.208432933	6.983870506
0.209609721	6.968172073
0.210786519	6.950701714
0.21078891	6.95069027
0.213143096	6.958314419
0.214319884	6.977050781
0.215496997	6.926886082
0.216676136	6.930927753
0.216678486	6.931818962
0.219030902	6.946875572
0.22020769	6.929389954
0.221386828	6.892994881
0.222563646	6.912657261
0.222565986	6.911434174
0.22491943	6.928985119
0.226096197	6.893650055
0.227272985	6.902170658
0.228452123	6.927721024
0.229628199	6.920550346
0.230805323	6.876418591
0.231984461	6.885367394
0.233161249	6.925379753
0.234338098	6.91601944
0.235517317	6.912260056
0.236696456	6.913216591
0.237870893	6.945504665
0.239050235	7.004108906
0.240227603	6.877585888
0.241404157	6.908497334
0.242583295	6.853889465
0.243760368	6.940832138
0.244937155	6.913947582
0.246113943	7.000677586
0.247293468	6.910887241
0.248469086	6.924853802
0.249648265	6.909677029
0.250825053	6.981486321
0.252001861	6.984781742
0.253180134	6.913460255
0.254357146	6.952180386
0.255536295	7.036345482
0.256713296	6.983565331
0.257892444	6.907307625
0.259068103	6.937689304
0.260244891	7.025384426
0.261422849	7.014940739
0.262603157	6.879098892
0.263777605	6.898170948
0.26495657	6.973194122
0.266134589	6.979019642
0.267309027	6.892542362
0.26848963	6.951124191
0.269668799	6.948702335
0.270842901	6.944549084
0.272022039	6.896399975
0.273201411	6.885953426
0.274375849	6.930366516
0.275555048	7.016843796
0.275557388	7.017524242
0.277909702	6.883206368
0.27908649	6.969930649
0.280263563	6.982343197
0.281442711	6.872668266
0.281445051	6.872167587
0.283799248	6.901907444
0.284976035	6.961071014
0.286151643	6.903436184
0.287330781	6.875808239
0.287333142	6.875257492
0.289685639	6.826620102
0.290862427	6.854349136
0.292041565	6.842818737
0.293218434	6.809563637
0.293220785	6.809139252
0.295572031	6.849995613
